"COMMON.NAME","SCIENTIFIC.NAME","site1","site2","site3","site4","site5"
"Lesser Black-backed Gull","Larus fuscus",NA,"Sundarbans","Taj Mahal",NA,NA
"Little Tern","Sternula albifrons",NA,"Sundarbans",NA,NA,NA
"Gull-billed Tern","Gelochelidon nilotica",NA,"Sundarbans","Taj Mahal",NA,"Bharatpur"
"Whiskered Tern","Chlidonias hybrida",NA,"Sundarbans","Taj Mahal",NA,"Bharatpur"
"Common Tern","Sterna hirundo",NA,"Sundarbans",NA,NA,NA
"River Tern","Sterna aurantia",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Great Crested Tern","Thalasseus bergii",NA,"Sundarbans",NA,NA,NA
"Indian Skimmer","Rynchops albicollis",NA,NA,NA,NA,"Bharatpur"
"Asian Openbill","Anastomus oscitans",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Black Stork","Ciconia nigra",NA,NA,NA,"Kaziranga","Bharatpur"
"Asian Woolly-necked Stork","Ciconia episcopus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"White Stork","Ciconia ciconia",NA,NA,NA,NA,"Bharatpur"
"Black-necked Stork","Ephippiorhynchus asiaticus",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Lesser Adjutant","Leptoptilos javanicus",NA,"Sundarbans",NA,"Kaziranga",NA
"Greater Adjutant","Leptoptilos dubius",NA,NA,NA,"Kaziranga",NA
"Painted Stork","Mycteria leucocephala","Lodhi Gardens","Sundarbans","Taj Mahal",NA,"Bharatpur"
"Oriental Darter","Anhinga melanogaster",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Little Cormorant","Microcarbo niger","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Great Cormorant","Phalacrocorax carbo","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Indian Cormorant","Phalacrocorax fuscicollis","Lodhi Gardens","Sundarbans","Taj Mahal",NA,"Bharatpur"
"Great White Pelican","Pelecanus onocrotalus",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Spot-billed Pelican","Pelecanus philippensis",NA,NA,NA,"Kaziranga",NA
"Dalmatian Pelican","Pelecanus crispus",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Yellow Bittern","Ixobrychus sinensis",NA,"Sundarbans",NA,NA,"Bharatpur"
"Cinnamon Bittern","Ixobrychus cinnamomeus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Black Bittern","Ixobrychus flavicollis",NA,"Sundarbans",NA,NA,"Bharatpur"
"Gray Heron","Ardea cinerea",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Purple Heron","Ardea purpurea",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Great Egret","Ardea alba",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Intermediate Egret","Ardea intermedia","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Little Egret","Egretta garzetta","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Indian Pond-Heron","Ardeola grayii","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Chinese Pond-Heron","Ardeola bacchus",NA,NA,NA,"Kaziranga",NA
