eBird.Code,eBird.English.Name.2023,eBird.Scientific.Name.2023,Order,Family
surfly1,Sulphur-rumped Flycatcher,Myiobius sulphureipygius,Passeriformes,"Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)"
whifly1,Whiskered Flycatcher,Myiobius barbatus,Passeriformes,"Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)"
bltfly1,Black-tailed Flycatcher,Myiobius atricaudus,Passeriformes,"Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)"
wibpip1,Wing-barred Piprites,Piprites chloris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
grhpip1,Gray-headed Piprites,Piprites griseiceps,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bkcpip1,Black-capped Piprites,Piprites pileata,Passeriformes,Tyrannidae (Tyrant Flycatchers)
cinmat1,Cinnamon Manakin-Tyrant,Neopipo cinnamomea,Passeriformes,Tyrannidae (Tyrant Flycatchers)
kincal1,Kinglet Calyptura,Calyptura cristata,Passeriformes,Tyrannidae (Tyrant Flycatchers)
cicspa1,Cinnamon-crested Spadebill,Platyrinchus saturatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
sttspa1,Stub-tailed Spadebill,Platyrinchus cancrominus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
whtspa1,White-throated Spadebill,Platyrinchus mystaceus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
gocspa1,Golden-crowned Spadebill,Platyrinchus coronatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
yetspa1,Yellow-throated Spadebill,Platyrinchus flavigularis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
whcspa1,White-crested Spadebill,Platyrinchus platyrhynchos,Passeriformes,Tyrannidae (Tyrant Flycatchers)
ruwspa1,Russet-winged Spadebill,Platyrinchus leucoryphus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
mcrtyr1,Many-colored Rush Tyrant,Tachuris rubrigastra,Passeriformes,Tyrannidae (Tyrant Flycatchers)
stnfly1,Streak-necked Flycatcher,Mionectes striaticollis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
olsfly2,Olive-streaked Flycatcher,Mionectes olivaceus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
olsfly1,Olive-striped Flycatcher,Mionectes galbinus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
ocbfly1,Ochre-bellied Flycatcher,Mionectes oleagineus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
mccfly1,McConnell's Flycatcher,Mionectes macconnelli,Passeriformes,Tyrannidae (Tyrant Flycatchers)
mccfly3,Sierra de Lema Flycatcher,Mionectes roraimae,Passeriformes,Tyrannidae (Tyrant Flycatchers)
gyhfly1,Gray-hooded Flycatcher,Mionectes rufiventris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
secfly1,Sepia-capped Flycatcher,Leptopogon amaurocephalus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
slcfly1,Slaty-capped Flycatcher,Leptopogon superciliaris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
