eBird.English.Name.2023,eBird.Scientific.Name.2023,eBird.Code,Order,Family
Rain Quail,Coturnix coromandelica,raiqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chukar,Alectoris chukar,chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Jungle Bush-Quail,Perdicula asiatica,jubqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rock Bush-Quail,Perdicula argoondah,robqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Painted Bush-Quail,Perdicula erythrorhyncha,pabqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Manipur Bush-Quail,Perdicula manipurensis,mabqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Himalayan Quail,Ophrysia superciliosa,himqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Greater Flamingo,Phoenicopterus roseus,grefla3,Phoenicopteriformes,Phoenicopteridae (Flamingos)
Lesser Flamingo,Phoeniconaias minor,lesfla1,Phoenicopteriformes,Phoenicopteridae (Flamingos)
Little Grebe,Tachybaptus ruficollis,litgre1,Podicipediformes,Podicipedidae (Grebes)
Horned Grebe,Podiceps auritus,horgre,Podicipediformes,Podicipedidae (Grebes)
Red-necked Grebe,Podiceps grisegena,rengre,Podicipediformes,Podicipedidae (Grebes)
Great Crested Grebe,Podiceps cristatus,grcgre1,Podicipediformes,Podicipedidae (Grebes)
Eared Grebe,Podiceps nigricollis,eargre,Podicipediformes,Podicipedidae (Grebes)
Rock Pigeon,Columba livia,rocpig,Columbiformes,Columbidae (Pigeons and Doves)
Hill Pigeon,Columba rupestris,hilpig1,Columbiformes,Columbidae (Pigeons and Doves)
Snow Pigeon,Columba leuconota,snopig1,Columbiformes,Columbidae (Pigeons and Doves)
Yellow-eyed Pigeon,Columba eversmanni,pabpig1,Columbiformes,Columbidae (Pigeons and Doves)
Common Wood-Pigeon,Columba palumbus,cowpig1,Columbiformes,Columbidae (Pigeons and Doves)
Speckled Wood-Pigeon,Columba hodgsonii,spwpig1,Columbiformes,Columbidae (Pigeons and Doves)
Ashy Wood-Pigeon,Columba pulchricollis,aswpig1,Columbiformes,Columbidae (Pigeons and Doves)
Nilgiri Wood-Pigeon,Columba elphinstonii,niwpig1,Columbiformes,Columbidae (Pigeons and Doves)
Pale-capped Pigeon,Columba punicea,pacpig1,Columbiformes,Columbidae (Pigeons and Doves)
Andaman Wood-Pigeon,Columba palumboides,anwpig1,Columbiformes,Columbidae (Pigeons and Doves)
European Turtle-Dove,Streptopelia turtur,eutdov,Columbiformes,Columbidae (Pigeons and Doves)
Oriental Turtle-Dove,Streptopelia orientalis,ortdov,Columbiformes,Columbidae (Pigeons and Doves)
Eurasian Collared-Dove,Streptopelia decaocto,eucdov,Columbiformes,Columbidae (Pigeons and Doves)
Red Collared-Dove,Streptopelia tranquebarica,recdov1,Columbiformes,Columbidae (Pigeons and Doves)
Spotted Dove,Spilopelia chinensis,spodov,Columbiformes,Columbidae (Pigeons and Doves)
Laughing Dove,Spilopelia senegalensis,laudov1,Columbiformes,Columbidae (Pigeons and Doves)
Barred Cuckoo-Dove,Macropygia unchall,bacdov1,Columbiformes,Columbidae (Pigeons and Doves)
Andaman Cuckoo-Dove,Macropygia rufipennis,ancdov1,Columbiformes,Columbidae (Pigeons and Doves)
Namaqua Dove,Oena capensis,namdov1,Columbiformes,Columbidae (Pigeons and Doves)
Asian Emerald Dove,Chalcophaps indica,emedov2,Columbiformes,Columbidae (Pigeons and Doves)
Nicobar Pigeon,Caloenas nicobarica,nicpig1,Columbiformes,Columbidae (Pigeons and Doves)
Orange-breasted Green-Pigeon,Treron bicinctus,orbpig1,Columbiformes,Columbidae (Pigeons and Doves)
Gray-fronted Green-Pigeon,Treron affinis,pomgrp2,Columbiformes,Columbidae (Pigeons and Doves)
Andaman Green-Pigeon,Treron chloropterus,pomgrp4,Columbiformes,Columbidae (Pigeons and Doves)
Ashy-headed Green-Pigeon,Treron phayrei,pomgrp5,Columbiformes,Columbidae (Pigeons and Doves)
Thick-billed Green-Pigeon,Treron curvirostra,thbpig1,Columbiformes,Columbidae (Pigeons and Doves)
Yellow-footed Green-Pigeon,Treron phoenicopterus,yefpig1,Columbiformes,Columbidae (Pigeons and Doves)
Pin-tailed Green-Pigeon,Treron apicauda,pitpig1,Columbiformes,Columbidae (Pigeons and Doves)
Wedge-tailed Green-Pigeon,Treron sphenurus,wetpig1,Columbiformes,Columbidae (Pigeons and Doves)
Green Imperial-Pigeon,Ducula aenea,gripig1,Columbiformes,Columbidae (Pigeons and Doves)
Nicobar Imperial-Pigeon,Ducula nicobarica,grnimp2,Columbiformes,Columbidae (Pigeons and Doves)
Malabar Imperial-Pigeon,Ducula cuprea,mouimp1,Columbiformes,Columbidae (Pigeons and Doves)
Mountain Imperial-Pigeon,Ducula badia,moipig1,Columbiformes,Columbidae (Pigeons and Doves)
Pied Imperial-Pigeon,Ducula bicolor,piipig1,Columbiformes,Columbidae (Pigeons and Doves)
Tibetan Sandgrouse,Syrrhaptes tibetanus,tibsan1,Pterocliformes,Pteroclidae (Sandgrouse)
Pallas's Sandgrouse,Syrrhaptes paradoxus,palsan1,Pterocliformes,Pteroclidae (Sandgrouse)
Pin-tailed Sandgrouse,Pterocles alchata,pitsan1,Pterocliformes,Pteroclidae (Sandgrouse)
Chestnut-bellied Sandgrouse,Pterocles exustus,chbsan,Pterocliformes,Pteroclidae (Sandgrouse)
Spotted Sandgrouse,Pterocles senegallus,sposan1,Pterocliformes,Pteroclidae (Sandgrouse)
