eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Persian Wheatear,Persian Wheatear,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland & Scrub,Winter Migrant,NA,NA,NA,Red-tailed Wheatear,Oenanthe chrysopygia,
Bohemian Waxwing,Bohemian Waxwing,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Bohemian Waxwing,Bombycilla garrulus,
Hypocolius,Hypocolius,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Non-specialized,Winter Migrant,1,NA,NA,Grey Hypocolius,Hypocolius ampelinus,
Thick-billed Flowerpecker,Thick-billed Flowerpecker,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,1,NA,NA,Thick-billed Flowerpecker,Dicaeum agile,
Yellow-vented Flowerpecker,Yellow-vented Flowerpecker,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident & Summer Migrant,NA,NA,NA,Yellow-vented Flowerpecker,Dicaeum chrysorrheum,
Yellow-bellied Flowerpecker,Yellow-bellied Flowerpecker,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Yellow-bellied Flowerpecker,Dicaeum melanozanthum,
Pale-billed Flowerpecker,Pale-billed Flowerpecker,Low,Stable,Strong Increase,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,
Nilgiri Flowerpecker,Nilgiri Flowerpecker,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Non-specialized,Resident & Local Migrant,NA,NA,NA,Nilgiri Flowerpecker,Dicaeum concolor,
Plain Flowerpecker,Plain Flowerpecker,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Plain Flowerpecker,Dicaeum minullum,
Andaman Flowerpecker,Andaman Flowerpecker,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Flowerpecker,Dicaeum virescens,
