eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
White-cheeked Tern,White-cheeked Tern,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Passage Migrant,NA,NA,NA,White-cheeked Tern,Sterna repressa,
Great Crested Tern,Great Crested Tern,Low,Data Deficient,Strong Increase,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Greater Crested Tern,Thalasseus bergii,10000
Sandwich Tern,Sandwich Tern,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Sandwich Tern,Thalasseus sandvicensis,
Lesser Crested Tern,Lesser Crested Tern,Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Lesser Crested Tern,Thalasseus bengalensis,
Indian Skimmer,Indian Skimmer,High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Within-India Migrant,1,NA,NA,Indian Skimmer,Rynchops albicollis,40
White-tailed Tropicbird,White-tailed Tropicbird,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,1,NA,White-tailed Tropicbird,Phaethon lepturus,
Red-billed Tropicbird,Red-billed Tropicbird,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Red-billed Tropicbird,Phaethon aethereus,
Red-tailed Tropicbird,Red-tailed Tropicbird,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,1,NA,Red-tailed Tropicbird,Phaethon rubricauda,
Red-throated Loon,Red-throated Loon,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Red-throated Diver,Gavia stellata,
Arctic Loon,Arctic Loon,NA,NA,NA,NA,24 hour,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Black-throated Diver,Gavia arctica,
Light-mantled Albatross,Light-mantled Albatross,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Light-mantled Albatross,Phoebetria palpebrata,
Wilson's Storm-Petrel,Wilson's Storm-Petrel,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Summer Migrant,NA,NA,NA,Wilson's Storm-petrel,Oceanites oceanicus,
White-faced Storm-Petrel,White-faced Storm-Petrel,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Summer Migrant,NA,1,NA,White-faced Storm-petrel,Pelagodroma marina,
Black-bellied Storm-Petrel,Black-bellied Storm-Petrel,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Black-bellied Storm-petrel,Fregetta tropica,
Swinhoe's Storm-Petrel,Swinhoe's Storm-Petrel,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Swinhoe's Storm-petrel,Hydrobates monorhis,
Barau's Petrel,Barau's Petrel,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Barau's Petrel,Pterodroma baraui,
Jouanin's Petrel,Jouanin's Petrel,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Uncertain,NA,NA,NA,Jouanin's Petrel,Bulweria fallax,
Streaked Shearwater,Streaked Shearwater,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Streaked Shearwater,Calonectris leucomelas,
Cory's Shearwater,Cory's Shearwater,NA,NA,NA,NA,24 hour,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Cory's Shearwater,Calonectris borealis,
Flesh-footed Shearwater,Flesh-footed Shearwater,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Summer Migrant,NA,NA,NA,Flesh-footed Shearwater,Ardenna carneipes,
Wedge-tailed Shearwater,Wedge-tailed Shearwater,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Summer Migrant,NA,NA,NA,Wedge-tailed Shearwater,Ardenna pacifica,
Sooty Shearwater,Sooty Shearwater,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Summer Migrant,NA,NA,NA,Sooty Shearwater,Ardenna grisea,
Short-tailed Shearwater,Short-tailed Shearwater,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Summer Migrant,NA,NA,NA,Short-tailed Shearwater,Ardenna tenuirostris,
Tropical Shearwater,Tropical Shearwater,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Tropical Shearwater,Puffinus bailloni,
Persian Shearwater,Persian Shearwater,NA,NA,NA,NA,24 hour,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Persian Shearwater,Puffinus persicus,
Asian Openbill,Asian Openbill,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Asian Openbill,Anastomus oscitans,3000
Black Stork,Black Stork,Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Black Stork,Ciconia nigra,100
Asian Woolly-necked Stork,Asian Woolly-necked Stork,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Woolly-necked Stork,Ciconia episcopus,250
White Stork,White Stork,NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,White Stork,Ciconia ciconia,
Black-necked Stork,Black-necked Stork,Moderate,Uncertain,Strong Decline,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Black-necked Stork,Ephippiorhynchus asiaticus,10
Lesser Adjutant,Lesser Adjutant,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Lesser Adjutant,Leptoptilos javanicus,50
Greater Adjutant,Greater Adjutant,High,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident,1,NA,NA,Greater Adjutant,Leptoptilos dubius,7
Painted Stork,Painted Stork,Moderate,Uncertain,Uncertain,Very Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Painted Stork,Mycteria leucocephala,250
Lesser Frigatebird,Lesser Frigatebird,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Lesser Frigatebird,Fregata ariel,
Christmas Island Frigatebird,Christmas Island Frigatebird,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Christmas Island Frigatebird,Fregata andrewsi,
Great Frigatebird,Great Frigatebird,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Great Frigatebird,Fregata minor,
Masked Booby,Masked Booby,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Masked Booby,Sula dactylatra,
Brown Booby,Brown Booby,NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Brown Booby,Sula leucogaster,
Red-footed Booby,Red-footed Booby,NA,NA,NA,NA,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Red-footed Booby,Sula sula,
Oriental Darter,Oriental Darter,Low,Uncertain,Moderate Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Oriental Darter,Anhinga melanogaster,40
Little Cormorant,Little Cormorant,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Little Cormorant,Microcarbo niger,2500
Great Cormorant,Great Cormorant,Low,Stable,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Winter Migrant,NA,NA,NA,Great Cormorant,Phalacrocorax carbo,1000
Indian Cormorant,Indian Cormorant,Low,Moderate Increase,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,Indian Cormorant,Phalacrocorax fuscicollis,300
Great White Pelican,Great White Pelican,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Great White Pelican,Pelecanus onocrotalus,210
Spot-billed Pelican,Spot-billed Pelican,Moderate,Uncertain,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Spot-billed Pelican,Pelecanus philippensis,100
Dalmatian Pelican,Dalmatian Pelican,Moderate,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Dalmatian Pelican,Pelecanus crispus,
Great Bittern,Great Bittern,NA,NA,NA,NA,24 hour,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Great Bittern,Botaurus stellaris,
Yellow Bittern,Yellow Bittern,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Yellow Bittern,Ixobrychus sinensis,
Little Bittern,Little Bittern,NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Little Bittern,Ixobrychus minutus,250
Cinnamon Bittern,Cinnamon Bittern,High,Strong Decline,Strong Decline,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Cinnamon Bittern,Ixobrychus cinnamomeus,10000
Black Bittern,Black Bittern,Moderate,Uncertain,Strong Decline,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Black Bittern,Ixobrychus flavicollis,1000
Gray Heron,Gray Heron,Low,Stable,Uncertain,Very Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Grey Heron,Ardea cinerea,1000
White-bellied Heron,White-bellied Heron,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,1,NA,NA,White-bellied Heron,Ardea insignis,5
Goliath Heron,Goliath Heron,NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,1,NA,NA,Goliath Heron,Ardea goliath,1
Purple Heron,Purple Heron,Low,Stable,Strong Decline,Very Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Purple Heron,Ardea purpurea,250
Great Egret,Great Egret,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Great Egret,Ardea alba,1000
Intermediate Egret,Medium Egret,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Intermediate Egret,Ardea intermedia,1000
Chinese Egret,Chinese Egret,NA,NA,NA,NA,No information,No information,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Chinese Egret,Egretta eulophotes,
Little Egret,Little Egret,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Little Egret,Egretta garzetta,1400
Western Reef-Heron,Western Reef-Heron,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Western Reef Egret,Egretta gularis,250
Pacific Reef-Heron,Pacific Reef-Heron,NA,NA,NA,NA,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Wetland,Resident,NA,NA,1,Pacific Reef Egret,Egretta sacra,10000
Cattle Egret,Eastern Cattle Egret,Low,Stable,Strong Decline,Very Large,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Cattle Egret,Bubulcus ibis,20000
Indian Pond-Heron,Indian Pond-Heron,Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,Indian Pond Heron,Ardeola grayii,10000
Chinese Pond-Heron,Chinese Pond-Heron,NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Resident & Summer Migrant,NA,NA,NA,Chinese Pond Heron,Ardeola bacchus,
Javan Pond-Heron,Javan Pond-Heron,NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Javan Pond Heron,Ardeola speciosa,
Striated Heron,Striated Heron,Low,Stable,Uncertain,Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Striated Heron,Butorides striata,250
Black-crowned Night-Heron,Black-crowned Night Heron,Low,Stable,Uncertain,Very Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Black-crowned Night Heron,Nycticorax nycticorax,1200
White-eared Night-Heron,White-eared Night Heron,NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,White-eared Night Heron,Gorsachius magnificus,
Malayan Night-Heron,Malayan Night Heron,Moderate,Data Deficient,Data Deficient,Moderate,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Malayan Night Heron,Gorsachius melanolophus,
Glossy Ibis,Glossy Ibis,Low,Strong Increase,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Glossy Ibis,Plegadis falcinellus,
Black-headed Ibis,Black-headed Ibis,Low,Moderate Increase,Uncertain,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Black-headed Ibis,Threskiornis melanocephalus,250
Red-naped Ibis,Red-naped Ibis,Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Red-naped Ibis,Pseudibis papillosa,100
Eurasian Spoonbill,Eurasian Spoonbill,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Eurasian Spoonbill,Platalea leucorodia,
Osprey,Osprey,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Osprey,Pandion haliaetus,
Black-winged Kite,Black-winged Kite,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Black-winged Kite,Elanus caeruleus,
Bearded Vulture,Bearded Vulture,Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Altitudinal Migrant,NA,NA,NA,Bearded Vulture,Gypaetus barbatus,
Egyptian Vulture,Egyptian Vulture,High,Moderate Decline,Strong Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident & Winter Migrant,NA,NA,NA,Egyptian Vulture,Neophron percnopterus,
European Honey-buzzard,European Honey-buzzard,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,European Honey Buzzard,Pernis apivorus,
Oriental Honey-buzzard,Oriental Honey-buzzard,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest & Plantation,Resident & Winter Migrant,NA,NA,NA,Oriental Honey Buzzard,Pernis ptilorhynchus,
Jerdon's Baza,Jerdon's Baza,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Jerdon's Baza,Aviceda jerdoni,
Black Baza,Black Baza,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Within-India Migrant,NA,NA,NA,Black Baza,Aviceda leuphotes,
Red-headed Vulture,Red-headed Vulture,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Red-headed Vulture,Sarcogyps calvus,
Cinereous Vulture,Cinereous Vulture,Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,1,NA,NA,Cinereous Vulture,Aegypius monachus,
White-rumped Vulture,White-rumped Vulture,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,White-rumped Vulture,Gyps bengalensis,
Indian Vulture,Indian Vulture,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Indian Vulture,Gyps indicus,
Slender-billed Vulture,Slender-billed Vulture,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident,1,NA,NA,Slender-billed Vulture,Gyps tenuirostris,
Himalayan Griffon,Himalayan Griffon,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Winter Migrant,NA,NA,NA,Himalayan Vulture,Gyps himalayensis,
Eurasian Griffon,Eurasian Griffon,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Griffon Vulture,Gyps fulvus,
Nicobar Serpent-Eagle,Nicobar Serpent-Eagle,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Serpent Eagle,Spilornis klossi,
Crested Serpent-Eagle,Crested Serpent-Eagle,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Crested Serpent Eagle,Spilornis cheela,
Andaman Serpent-Eagle,Andaman Serpent-Eagle,High,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Serpent Eagle,Spilornis elgini,
Short-toed Snake-Eagle,Short-toed Snake-Eagle,High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Short-toed Snake Eagle,Circaetus gallicus,
Changeable Hawk-Eagle,Changeable Hawk-Eagle,Low,Stable,Moderate Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Changeable Hawk Eagle,Nisaetus cirrhatus,
Mountain Hawk-Eagle,Mountain Hawk-Eagle,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Mountain Hawk Eagle,Nisaetus nipalensis,
Legge's Hawk-Eagle,Legge's Hawk-Eagle,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,Yes,No,Western Ghats & Sri Lanka,Forest,Resident,NA,NA,NA,Legge's Hawk Eagle,Nisaetus kelaarti,
Rufous-bellied Eagle,Rufous-bellied Eagle,Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Rufous-bellied Eagle,Lophotriorchis kienerii,
Black Eagle,Black Eagle,Low,Stable,Moderate Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Black Eagle,Ictinaetus malaiensis,
Indian Spotted Eagle,Indian Spotted Eagle,Moderate,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident & Within-India Migrant,1,NA,NA,Indian Spotted Eagle,Clanga hastata,
Greater Spotted Eagle,Greater Spotted Eagle,Moderate,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Greater Spotted Eagle,Clanga clanga,
Booted Eagle,Booted Eagle,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Booted Eagle,Hieraaetus pennatus,
Tawny Eagle,Tawny Eagle,High,Strong Decline,Strong Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident & Winter Migrant,NA,NA,NA,Tawny Eagle,Aquila rapax,
Steppe Eagle,Steppe Eagle,High,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Steppe Eagle,Aquila nipalensis,
Imperial Eagle,Imperial Eagle,Moderate,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Eastern Imperial Eagle,Aquila heliaca,
Golden Eagle,Golden Eagle,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Alpine & Cold Desert,Local Migrant & Winter Migrant,NA,NA,NA,Golden Eagle,Aquila chrysaetos,
Bonelli's Eagle,Bonelli's Eagle,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Bonelli's Eagle,Aquila fasciata,
White-eyed Buzzard,White-eyed Buzzard,Moderate,Stable,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Local Migrant,NA,NA,NA,White-eyed Buzzard,Butastur teesa,
Rufous-winged Buzzard,Rufous-winged Buzzard,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Rufous-winged Buzzard,Butastur liventer,
Gray-faced Buzzard,Gray-faced Buzzard,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Grey-faced Buzzard,Butastur indicus,
Eurasian Marsh-Harrier,Western Marsh Harrier,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Western Marsh Harrier,Circus aeruginosus,
Eastern Marsh-Harrier,Eastern Marsh Harrier,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Eastern Marsh Harrier,Circus spilonotus,
Hen Harrier,Hen Harrier,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Hen Harrier,Circus cyaneus,
Pallid Harrier,Pallid Harrier,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Pallid Harrier,Circus macrourus,
Pied Harrier,Pied Harrier,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Pied Harrier,Circus melanoleucos,
Montagu's Harrier,Montagu's Harrier,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Montagu's Harrier,Circus pygargus,
Crested Goshawk,Crested Goshawk,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Crested Goshawk,Accipiter trivirgatus,
Shikra,Shikra,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Shikra,Accipiter badius,
Nicobar Sparrowhawk,Nicobar Sparrowhawk,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Sparrowhawk,Accipiter butleri,
Chinese Sparrowhawk,Chinese Sparrowhawk,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Chinese Sparrowhawk,Accipiter soloensis,
Japanese Sparrowhawk,Japanese Sparrowhawk,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Japanese Sparrowhawk,Accipiter gularis,
